code;name;latitude;longitude;services
PA168;(M) Santa Lucía;-33.44255026;-70.64450936;106-109N-210-210v-221e-345-403-419-422-423-481-513-516-518-519-D09N-F30N
PA169;(M) Universidad Católica;-33.44040164;-70.64059635;106-109N-210-210v-303-307-307e-314-315e-403-419-422-423-481-513-D09N-F30N
PA17;Centro De Justicia;-33.47244914;-70.65509235;113-115-125-302-302N-511-H07-I01
PA170;Plaza Italia;-33.4381315;-70.63631553;210-210v-213e-221e-303-307-307e-314-315e-B02N-F30N
PA171;Vicuña Mackenna / Barón P De Coubertin;-33.4402276;-70.6346553;210-210v-307-307e-314-315e-403-422-513-B02N-F30N
PA172;(M) Parque Bustamante;-33.44297379;-70.63362035;210-210v-213e-403-422-513-516-519-F30N-H13
PA174;(M) Santa Isabel;-33.44821618;-70.63204042;210-210v-213e-403-513-516-519-F30N-H13
PA176;(M) Irarrázaval;-33.45283376;-70.63065304;210-210v-F30N
PA177;(M) Irarrázaval;-33.4551412;-70.63006147;210-210v-213e-221e-F30N
PA179;Maule / Vicuña Mackenna;-33.46259322;-70.62778006;210-210v-227-F30N
PA18;(M) Rondizzoni;-33.47060799;-70.65587514;113-115-125-302-302N-H07-I01
PA181;(M) Ñuble;-33.46708143;-70.62662655;210-210v-213e-221e-F30N
PA182;(M) Santa Lucía;-33.44259382;-70.64598391;210-210v-221e-345-403-513-518-D09N-F30N
PA183;(M) Universidad De Chile;-33.44380401;-70.65127782;210-210v-221e-302N-345-346N-385-403-412-418-424-516-518-519-D09N-F30N-I14N
PA184;(M) La Moneda;-33.44462406;-70.65538115;109N-210-210v-302N-346N-401-405-419-421-423-432N-518-541N-D09N-F30N-I08N-I09-I09e-I10N
PA185;(M) Los Héroes;-33.44596332;-70.66110807;210-210v-221e-345-346N-385-412-418-516-518-I14N
PA186;(M) Unión Latinoamericana;-33.44857657;-70.67132402;210-210v-345-346N-385-406-407-412-418-422-426-513-I14N
PA187;(M) República;-33.44742579;-70.66704191;210-210v-221e-345-346N-385-406-407-412-418-422-426-513-I09-I09e-I14N-J03
PA19;Lord Cochrane / Ñuble;-33.470283;-70.65252244;113-115-511-H07-I01
PA190;(M) Santa Ana;-33.43799243;-70.66034301;201e-217e-313e
PA191;(M) Quinta Normal;-33.44110057;-70.67999048;221e-J19
PA195;Monjitas - San Antonio;-33.43668725;-70.64866901;203-206-208-214-226-230-B02N-B30N-B31N
PA196;Eleuterio Ramírez / Nataniel Cox;-33.44954829;-70.65333389;214-226-229-264N-301
PA197;Santa Isabel / Nataniel Cox;-33.45200651;-70.65293946;214-226-229-264N-301
PA198;Teatro Cariola;-33.4494755;-70.65067529;229-301
PA199;Coquimbo / Portugal;-33.45355565;-70.63404472;227-H13
PA2;Romero / Chacabuco;-33.44816017;-70.67811491;109-406-422-426-507-513-B26
PA20;Pedro Lagos / Lord Cochrane;-33.46818458;-70.65231044;113-115
PA200;(M) Irarrázaval;-33.45605835;-70.63163866;227
PA202;Portugal / Maule;-33.46529719;-70.63063896;227-D05
PA203;Sierra Bella / Maule;-33.46574334;-70.63442407;227
PA204;Santiago Concha / Maule;-33.4661291;-70.63799289;227
PA205;Santa Rosa / Maule;-33.46656258;-70.64203607;227
PA206;Pasaje Marta / Miguel León Prado;-33.46411963;-70.64127985;227
PA207;Carmen / Miguel León Prado;-33.46371699;-70.63831334;227
PA208;Sierra Bella / Miguel León Prado;-33.46336596;-70.63553073;227
PA209;Portugal / Miguel León Prado;-33.4627474;-70.63182856;227
PA21;Victoria / Lord Cochrane;-33.46540236;-70.65265575;113-115
PA210;Vicuña Mackenna / Miguel León Prado;-33.46196995;-70.62854309;227
PA212;Lord Cochrane / Tarapacá;-33.44776253;-70.65402076;201-223-229-264N-271-301
PA213;Colegio San Ignacio;-33.44703592;-70.65508273;229-509
PA214;Hnos Amunátegui / Pdte Balmaceda;-33.4318917;-70.65730123;121-502-502c-503-517
PA215;(M) La Moneda;-33.44514216;-70.65440131;210-210v-229-264N-301-385-403-422-513-516-519-F30N-I08N-I09-I09e-I10N-I14N
PA218;Moneda / Hermanos Amunátegui;-33.44265011;-70.65597832;201-223-264N-271-509
PA219;Huérfanos / Hermanos Amunátegui;-33.44058815;-70.65641243;301-509
PA22;Santiago / Lord Cochrane;-33.4628912;-70.65296315;113-115
PA220;Santo Domingo / Hermanos Amunátegui;-33.43710037;-70.65691623;301-509
PA221;Estación Mapocho;-33.43398629;-70.65307091;119-121
PA222;Herrera / San Pablo;-33.43565954;-70.67821839;402
PA223;Rafael Sotomayor / San Pablo;-33.43513849;-70.67406725;402
PA224;General Bulnes / San Pablo;-33.43506845;-70.67123705;402
PA225;Maturana / San Pablo;-33.43494888;-70.6680617;402
PA226;Almirante Barroso / San Pablo;-33.43475668;-70.66357273;121-271-402-502-518
PA228;Rosas / Manuel Rodríguez;-33.43549899;-70.66067197;402-504-J03
PA229;(M) Santa Ana;-33.4366738;-70.66048999;302-402-504-J03
PA23;Aconcagua / Lord Cochrane;-33.45893432;-70.65347979;113-115-509
PA230;Agustinas / Manuel Rodríguez;-33.44100462;-70.66033585;302-403-D09N
PA231;Alameda / Manuel Rodríguez;-33.4442865;-70.66106534;302-302e-403-D09N
PA232;(M) Los Héroes;-33.44714159;-70.66066796;125-302-302N-302e
PA233;Sazié / Manuel Rodríguez;-33.44879827;-70.66019392;125-302-302N-510
PA234;(M) Parque O'higgins;-33.46097459;-70.65737038;302-302N
